,result,table,_start,_stop,_time,_value,_field,_measurement,deployment,namespace
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:56:10Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:56:20Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:56:30Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:56:40Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:56:50Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:57:00Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:57:10Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:57:20Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:57:30Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:57:40Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:57:50Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:58:00Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:58:10Z,2.7941176470588234,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:58:20Z,47.5,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:58:30Z,47.5,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:58:40Z,47.5,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:58:50Z,47.472250544345584,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:59:00Z,47.336670126335974,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:59:10Z,47.21393889252593,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:59:20Z,47.14536476323208,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:59:30Z,47.230230986553266,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:59:40Z,47.32746848739495,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T18:59:50Z,47.49131944444444,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T19:00:00Z,47.5,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T19:00:10Z,47.5,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T19:00:20Z,47.5,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T19:00:30Z,47.5,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T19:00:40Z,47.5,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T19:00:50Z,47.5,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T19:01:00Z,47.5,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-26T18:56:02Z,2026-02-26T20:06:03Z,2026-02-26T19:01:10Z,47.5,response_time_raw,monitoring_cluster,hpa-flask-app,default
