,result,table,_start,_stop,_time,_value,_field,_measurement,deployment,namespace
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:50:50Z,0.39612309291271064,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:00Z,0.35828580860847903,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:10Z,0.3436058364045958,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:20Z,0.31445159395278655,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:30Z,0.33249562381676445,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:40Z,0.3756481199735437,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:50Z,0.40739533963441543,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:00Z,0.3796961244407703,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:10Z,0.3719546424155442,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:20Z,0.34163218281328267,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:30Z,0.3775279802305303,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:40Z,0.4168294929945551,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:50Z,0.4657871445397588,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:53:00Z,0.4091950235541435,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:53:10Z,10.460384775295447,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:53:20Z,17.03386239326052,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:53:30Z,18.398582644168712,cpu,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:53:40Z,16.306454692599765,cpu,monitoring_cluster,hpa-flask-app,default
