,result,table,_start,_stop,_time,_value,_field,_measurement,deployment,namespace
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:50:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:10Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:20Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:30Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:40Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:51:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:10Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:20Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:30Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:40Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:52:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:53:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:53:10Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:53:20Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:53:30Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:53:40Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:53:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:54:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:54:10Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:54:20Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:54:30Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:54:40Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:54:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:55:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-03-01T02:50:45Z,2026-03-01T04:00:45Z,2026-03-01T02:55:10Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
