,result,table,_start,_stop,_time,_value,_field,_measurement,deployment,namespace
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:23:30Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:23:40Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:23:50Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:24:00Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:24:10Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:24:20Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:24:30Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:24:40Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:24:50Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:25:00Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:25:10Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:25:20Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:25:30Z,0,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:25:40Z,263.8888888888889,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:25:50Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:26:00Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:26:10Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:26:20Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:26:30Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:26:40Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:26:50Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:27:00Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:27:10Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:27:20Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:27:30Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:27:40Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:27:50Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:28:00Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-26T12:23:29Z,2026-02-26T13:33:30Z,2026-02-26T12:28:10Z,475,response_time_raw,monitoring_cluster,test-flask-app,default
