,result,table,_start,_stop,_time,_value,_field,_measurement,deployment,namespace
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:30:40Z,6.423187255859375,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:30:50Z,6.425666809082031,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:00Z,6.4284006754557295,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:10Z,6.46514892578125,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:20Z,6.427450741038603,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:30Z,6.418878891888787,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:40Z,6.421302346622243,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:50Z,6.421212589039522,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:00Z,6.420135498046875,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:10Z,6.420135498046875,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:20Z,6.420135498046875,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:30Z,6.420135498046875,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:40Z,6.422648710363052,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:50Z,6.426239013671875,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:33:00Z,14.096338608685661,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:33:10Z,23.11387903550092,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:33:20Z,32.22222328186035,memory,monitoring_cluster,test-flask-app,default
