,result,table,_start,_stop,_time,_value,_field,_measurement,deployment,namespace
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:30:40Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:30:50Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:00Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:10Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:20Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:30Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:40Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:31:50Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:00Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:10Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:20Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:30Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:40Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:32:50Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:33:00Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:33:10Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:33:20Z,20,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:33:30Z,20,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:33:40Z,20,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:33:50Z,20,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:34:00Z,20,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:34:10Z,20,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:34:20Z,20,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:34:30Z,20,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:34:40Z,20,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:34:50Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:35:00Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:35:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:35:20Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:35:30Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:35:40Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:35:50Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:36:00Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:36:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:36:20Z,6,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:36:30Z,6,desired_replicas,monitoring_cluster,test-flask-app,default
,last,0,2026-02-27T09:30:35Z,2026-02-27T10:40:36Z,2026-02-27T09:36:40Z,6,desired_replicas,monitoring_cluster,test-flask-app,default
