type,pod,run,start,stop
rl,pod_10,1,2026-02-26 19:23:29,2026-02-26 20:33:30
rl,pod_10,2,2026-02-26 20:41:50,2026-02-26 21:51:51
rl,pod_10,3,2026-02-26 22:00:11,2026-02-26 23:10:12
hpa,pod_10,1,2026-02-26 19:23:29,2026-02-26 20:33:30
hpa,pod_10,2,2026-02-26 20:41:50,2026-02-26 21:51:51
hpa,pod_10,3,2026-02-26 22:00:11,2026-02-26 23:10:12
rl,pod_20,1,2026-02-26 23:19:21,2026-02-27 00:29:22
rl,pod_20,2,2026-02-27 00:37:42,2026-02-27 01:47:42
rl,pod_20,3,2026-02-27 01:56:02,2026-02-27 03:06:03
hpa,pod_20,1,2026-02-26 23:19:21,2026-02-27 00:29:22
hpa,pod_20,2,2026-02-27 00:37:42,2026-02-27 01:47:42
hpa,pod_20,3,2026-02-27 01:56:02,2026-02-27 03:06:03
rl,pod_30,1,2026-02-27 15:12:14,2026-02-27 16:22:15
rl,pod_30,2,2026-02-27 16:30:35,2026-02-27 17:40:36
rl,pod_30,3,2026-02-27 17:48:56,2026-02-27 18:58:57
hpa,pod_30,1,2026-03-01 09:50:45,2026-03-01 11:00:45
hpa,pod_30,2,2026-03-01 11:09:05,2026-03-01 12:19:07
hpa,pod_30,3,2026-03-01 12:27:27,2026-03-01 13:37:28
