,result,table,_start,_stop,_time,_value,_field,_measurement,deployment,namespace
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:12:30Z,7.025909423828125,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:12:40Z,7.025909423828125,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:12:50Z,7.030063205295139,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:13:00Z,7.03125,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:13:10Z,7.028961181640625,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:13:20Z,7.030232747395833,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:13:30Z,7.0289163028492645,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:13:40Z,7.025400797526042,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:13:50Z,7.027435302734375,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:14:00Z,7.027943929036458,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:14:10Z,7.029300265842014,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:14:20Z,7.044803394990809,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:14:30Z,7.09381103515625,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:14:40Z,7.085609436035156,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:14:50Z,7.0281982421875,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:15:00Z,23.574470071231616,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:15:10Z,31.44543965657552,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:15:20Z,42.18902587890625,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:15:30Z,47.35951143152573,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:15:40Z,59.7686767578125,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:15:50Z,69.07312729779412,memory,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-23T19:12:28Z,2026-02-23T20:22:29Z,2026-02-23T19:16:00Z,79.29763793945312,memory,monitoring_cluster,hpa-flask-app,default
