,result,table,_start,_stop,_time,_value,_field,_measurement,deployment,namespace
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:08:30Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:08:40Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:08:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:10Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:20Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:30Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:40Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:10Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:20Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:30Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:40Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:10Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:20Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:30Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:40Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:12:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:12:10Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:12:20Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:12:30Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:12:40Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:12:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:13:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:13:10Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:13:20Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:13:30Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:13:40Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:13:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:14:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:14:10Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:14:20Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:14:30Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:14:40Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:14:50Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:15:00Z,1,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:15:10Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:15:20Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:15:30Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:15:40Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:15:50Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:16:00Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:16:10Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:16:20Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:16:30Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:16:40Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:16:50Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:17:00Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:17:10Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:17:20Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:17:30Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:17:40Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:17:50Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:18:00Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:18:10Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:18:20Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:18:30Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:18:40Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:18:50Z,2,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:19:00Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:19:10Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:19:20Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:19:30Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:19:40Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:19:50Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:20:00Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:20:10Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:20:20Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:20:30Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:20:40Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:20:50Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:21:00Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:21:10Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:21:20Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:21:30Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:21:40Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:21:50Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:22:00Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:22:10Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:22:20Z,3,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:22:30Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:22:40Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:22:50Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:23:00Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:23:10Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:23:20Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:23:30Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:23:40Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:23:50Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:24:00Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:24:10Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:24:20Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:24:30Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:24:40Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:24:50Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:25:00Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:25:10Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:25:20Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:25:30Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:25:40Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:25:50Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:26:00Z,4,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:26:10Z,5,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:26:20Z,5,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:26:30Z,5,desired_replicas,monitoring_cluster,hpa-flask-app,default
,last,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:26:40Z,5,desired_replicas,monitoring_cluster,hpa-flask-app,default
