,result,table,_start,_stop,_time,_value,_field,_measurement,deployment,namespace
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:08:30Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:08:40Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:08:50Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:00Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:10Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:20Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:30Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:40Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:09:50Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:00Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:10Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:20Z,0,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:30Z,5.588235294117647,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:40Z,47.361111111111114,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:10:50Z,46.13970588235294,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:00Z,45.40178571428572,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:10Z,45.90530303030303,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:20Z,45.42442810457516,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:30Z,46.22390572390574,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:40Z,46.55388728918142,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:11:50Z,46.597384097384115,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:12:00Z,46.64853664853666,response_time_raw,monitoring_cluster,hpa-flask-app,default
,mean,0,2026-02-20T07:08:24Z,2026-02-20T08:18:25Z,2026-02-20T07:12:10Z,46.608391608391614,response_time_raw,monitoring_cluster,hpa-flask-app,default
