,result,table,_start,_stop,_time,_value,_field,_measurement,deployment,namespace
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:41:40Z,6.4727783203125,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:41:50Z,6.473965115017361,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:42:00Z,6.473182229434743,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:42:10Z,6.469302707248264,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:42:20Z,6.467437744140625,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:42:30Z,6.464894612630208,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:42:40Z,6.464301215277778,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:42:50Z,6.463623046875,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:43:00Z,6.457477145724827,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:43:10Z,6.441497802734375,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:43:20Z,6.442515055338542,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:43:30Z,6.44378662109375,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:43:40Z,6.4422607421875,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:43:50Z,6.4617156982421875,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:44:00Z,6.48193359375,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:44:10Z,22.153218587239582,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:44:20Z,35.55957569795496,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:44:30Z,41.826629638671875,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:44:40Z,49.09014533547794,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:44:50Z,48.76739501953125,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:45:00Z,61.26919017118566,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:45:10Z,71.76361931694879,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:45:20Z,75.26668548583986,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:45:30Z,75.26551190544578,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:45:40Z,75.27328491210938,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:45:50Z,75.28550624847412,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:46:00Z,27.114830017089847,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:46:10Z,21.579844156901043,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:46:20Z,28.021047255572153,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:46:30Z,40.91882069905599,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:46:40Z,49.74771836224724,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:46:50Z,59.68601226806642,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:47:00Z,59.68968709309897,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:47:10Z,60.312643612132355,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:47:20Z,70.24087270100911,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:47:30Z,71.46698446834789,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:47:40Z,75.45265197753906,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:47:50Z,51.59212449017693,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:48:00Z,44.43214416503907,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:48:10Z,77.24815368652345,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:48:20Z,59.88393895766315,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:48:30Z,46.33349100748698,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:48:40Z,64.89226846133961,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:48:50Z,73.18557739257812,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:49:00Z,77.09606594509549,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:49:10Z,39.40593495088465,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:49:20Z,27.96985626220703,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:49:30Z,41.95548113654642,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:49:40Z,69.063966539171,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:49:50Z,26.825790405273438,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:50:00Z,59.63785059311811,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:50:10Z,36.21421813964843,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:50:20Z,6.934343225815717,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:50:30Z,47.8900146484375,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:50:40Z,67.30647367589616,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:50:50Z,17.460276285807293,memory,monitoring_cluster,test-flask-app,default
,mean,0,2026-02-22T21:41:39Z,2026-02-22T22:51:40Z,2026-02-22T21:51:00Z,42.31333564309513,memory,monitoring_cluster,test-flask-app,default
