type,pod,run,start,stop
rl,pod_20,1,2026-02-22 17:02:54,2026-02-22 18:12:55
rl,pod_20,2,2026-02-22 18:21:15,2026-02-22 19:31:16
rl,pod_20,3,2026-02-22 19:39:36,2026-02-22 20:49:37
hpa,pod_20,1,2026-02-22 21:32:21,2026-02-22 22:42:21
hpa,pod_20,2,2026-02-22 22:50:41,2026-02-23 00:00:42
hpa,pod_20,3,2026-02-23 00:09:02,2026-02-23 01:19:04
rl,pod_10,1,2026-02-23 04:41:39,2026-02-23 05:51:40
rl,pod_10,2,2026-02-23 06:00:00,2026-02-23 07:10:01
rl,pod_10,3,2026-02-23 07:18:21,2026-02-23 08:28:22
hpa,pod_10,1,2026-02-23 11:00:30,2026-02-23 12:10:31
