type,pod,run,start,stop
rl,pod_10,1,2026-02-23 23:35:45,2026-02-24 00:45:47
rl,pod_10,2,2026-02-24 00:54:07,2026-02-24 02:04:08
rl,pod_10,3,2026-02-24 02:12:28,2026-02-24 03:22:29
hpa,pod_10,1,2026-02-23 23:35:45,2026-02-24 00:45:47
hpa,pod_10,2,2026-02-24 00:54:07,2026-02-24 02:04:08
hpa,pod_10,3,2026-02-24 02:12:28,2026-02-24 03:22:29
rl,pod_20,1,2026-02-23 15:32:00,2026-02-23 16:42:01
rl,pod_20,2,2026-02-23 16:50:21,2026-02-23 18:00:22
rl,pod_20,3,2026-02-23 18:08:42,2026-02-23 19:18:42
hpa,pod_20,1,2026-02-23 19:35:38,2026-02-23 20:45:40
hpa,pod_20,2,2026-02-23 20:54:00,2026-02-23 22:04:01
hpa,pod_20,3,2026-02-23 22:12:20,2026-02-23 23:22:21
rl,pod_30,1,2026-02-24 03:56:13,2026-02-24 05:06:14
rl,pod_30,2,2026-02-24 05:14:35,2026-02-24 06:24:36
rl,pod_30,3,2026-02-24 06:32:56,2026-02-24 07:42:57
rl,pod_30,4,2026-02-26 00:13:57,2026-02-26 01:23:58
rl,pod_30,5,2026-02-26 01:32:18,2026-02-26 02:42:20
rl,pod_30,6,2026-02-26 02:50:40,2026-02-26 04:00:41
rl,pod_30,7,2026-02-26 04:09:01,2026-02-26 05:19:02
hpa,pod_30,1,2026-02-24 10:59:57,2026-02-24 12:09:58
hpa,pod_30,2,2026-02-24 12:18:18,2026-02-24 13:28:19
hpa,pod_30,3,2026-02-24 13:36:39,2026-02-24 14:46:40
